ID,Categoria,Subcategoria,Actividad,Objetivo
63,B.1. Sustainability and protection of water resources,B.1.2. Water supply.,"B.1.2.1. Provision, distribution of water, or expansion of the network that demonstrates an assessment of the source's capacity and, if necessary, considers compensatory measures for aquifer recharge. Sustainable blue economy: Classified when the source of training is the sea or coastal wells, and desalination or equivalent processes are implemented.",B. Biodiversity and other environmental objectives
64,B.1. Sustainability and protection of water resources,B.1.2. Water supply.,B.1.2.2. Reduction of losses in distribution and storage systems.,B. Biodiversity and other environmental objectives
65,B.1. Sustainability and protection of water resources,B.1.2. Water supply.,B.1.2.3. Modernization and efficiency in agricultural irrigation and drainage systems.,B. Biodiversity and other environmental objectives
66,B.1. Sustainability and protection of water resources,B.1.3. Wastewater. Sustainable blue economy: Classified if wastewater management contributes to preventing or mitigating marine pollution.,B.1.3.1. Wastewater treatment plants with effluent standards that guarantee the health of ecosystems in the receiving water body.,B. Biodiversity and other environmental objectives
67,B.1. Sustainability and protection of water resources,B.1.3. Wastewater. Sustainable blue economy: Classified if wastewater management contributes to preventing or mitigating marine pollution.,"B.1.3.2. Collection, conveyance, and improvement of wastewater quality in urban or rural areas.",B. Biodiversity and other environmental objectives
68,B.1. Sustainability and protection of water resources,B.1.3. Wastewater. Sustainable blue economy: Classified if wastewater management contributes to preventing or mitigating marine pollution.,"B.1.3.3. Sustainable drainage systems, such as filter gardens in water bodies to reduce the pollutant load.",B. Biodiversity and other environmental objectives
69,B.1. Sustainability and protection of water resources,B.1.3. Wastewater. Sustainable blue economy: Classified if wastewater management contributes to preventing or mitigating marine pollution.,"B.1.3.4. Technological or management innovation in the wastewater cycle, such as the reuse of treated water or aquifer recharge.",B. Biodiversity and other environmental objectives
70,B.1. Sustainability and protection of water resources,B.1.3. Wastewater. Sustainable blue economy: Classified if wastewater management contributes to preventing or mitigating marine pollution.,B.1.3.5. Monitoring and control of water quality.,B. Biodiversity and other environmental objectives
71,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,B.2.1.1. Conservation of forests and other strategic terrestrial ecosystems.,B. Biodiversity and other environmental objectives
72,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,B.2.1.2. Recovery of strategic terrestrial ecosystems previously degraded by productive activities or other uses.,B. Biodiversity and other environmental objectives
73,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,"B.2.1.3. Remediation of overexploited soils (e.g., agriculture, mining, or other causes). Decontamination of soils from toxic materials (i.e., beyond what is required by law, as a result of compensation for irregular spills).",B. Biodiversity and other environmental objectives
74,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,"B.2.1.4. Reforestation or urban tree planting aimed at improving air quality, environmental health, or regulating temperature.",B. Biodiversity and other environmental objectives
75,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,"B.2.1.5. Monitoring, control, and surveillance of strategic ecosystems (e.g., monitoring of factors that affect biodiversity loss, such as deforestation, fires, invasion of introduced species, among others).",B. Biodiversity and other environmental objectives
76,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,B.2.1.6. Restoration of degraded areas (degraded soils) and/or regeneration of soil fertility.,B. Biodiversity and other environmental objectives
77,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,"B.2.1.7. Ecotourism or tourism with a neutral or positive impact on biodiversity in protected areas, promoting benefits for local communities.",B. Biodiversity and other environmental objectives
78,B.2. Protection and restoration of biodiversity and ecosystems,B.2.1. Conservation and restoration of strategic terrestrial ecosystems.,B.2.1.8. Investment in vegetation cover to control soil erosion and reduce landslide disasters.,B. Biodiversity and other environmental objectives
79,B.2. Protection and restoration of biodiversity and ecosystems,"B.2.2. Agriculture, forestry, and other sustainable land uses.","B.2.2.1. Forest plantations with certified management plans (i.e., afforestation and reforestation).",B. Biodiversity and other environmental objectives
80,B.2. Protection and restoration of biodiversity and ecosystems,"B.2.2. Agriculture, forestry, and other sustainable land uses.","B.2.2.2. Eco-efficiency in the value chain of forest products, both timber and non-timber.",B. Biodiversity and other environmental objectives
81,B.2. Protection and restoration of biodiversity and ecosystems,"B.2.2. Agriculture, forestry, and other sustainable land uses.",B.2.2.3. Implementation of mixed uses of agroforestry and/or agro-silvo-pastoral systems. Sustainable livestock production.,B. Biodiversity and other environmental objectives
82,B.2. Protection and restoration of biodiversity and ecosystems,"B.2.2. Agriculture, forestry, and other sustainable land uses.",B.2.2.4. Local agriculture and urban gardens.,B. Biodiversity and other environmental objectives
83,B.2. Protection and restoration of biodiversity and ecosystems,"B.2.2. Agriculture, forestry, and other sustainable land uses.",B.2.2.5. Soil leveling for the optimization of water use in irrigated agriculture.,B. Biodiversity and other environmental objectives
84,B.2. Protection and restoration of biodiversity and ecosystems,B.2.3. Coastal marine ecosystems. These always qualify as sustainable blue economy.,B.2.3.1. Prevention of spills/pollution into the ocean or other marine ecosystems.,B. Biodiversity and other environmental objectives
85,B.2. Protection and restoration of biodiversity and ecosystems,B.2.3. Coastal marine ecosystems. These always qualify as sustainable blue economy.,"B.2.3.2. Conservation and/or restoration of mangroves, seagrass beds, and/or coral reefs. These always qualify as sustainable blue economy.",B. Biodiversity and other environmental objectives
86,B.2. Protection and restoration of biodiversity and ecosystems,B.2.3. Coastal marine ecosystems. These always qualify as sustainable blue economy.,B.2.3.3. Coastal and/or marine ecotourism.,B. Biodiversity and other environmental objectives
87,B.2. Protection and restoration of biodiversity and ecosystems,B.2.3. Coastal marine ecosystems. These always qualify as sustainable blue economy.,B.2.3.4. Fishing industry and aquaculture.,B. Biodiversity and other environmental objectives
88,B.3. Pollution prevention and control,B.3.1. Air.,B.3.1.1. Investment in new or existing emission treatment or filtration systems. Gas scrubber/treatment system for air pollution control.,B. Biodiversity and other environmental objectives
89,B.3. Pollution prevention and control,B.3.1. Air.,B.3.1.2. Air quality monitoring stations.,B. Biodiversity and other environmental objectives
90,B.3. Pollution prevention and control,B.3.2. Industrial pollution control. Sustainable blue economy: Classified when it has a positive impact on the ocean or coastal ecosystem.,"B.3.2.1. Reduction of liquid, solid, and atmospheric pollutants from industry.",B. Biodiversity and other environmental objectives
91,B.3. Pollution prevention and control,B.3.3. Waste management. Sustainable blue economy: Classified when it has a positive impact on the ocean or coastal ecosystem.,"B.3.3.1. Systems for the collection, transport, transfer, sorting, recycling, reuse, or final disposal of solid waste. ",B. Biodiversity and other environmental objectives
92,B.3. Pollution prevention and control,B.3.3. Waste management. Sustainable blue economy: Classified when it has a positive impact on the ocean or coastal ecosystem.,B.3.3.2. Systems for collecting plastic waste in oceans or other receiving bodies of water.,B. Biodiversity and other environmental objectives
93,B.3. Pollution prevention and control,B.3.3. Waste management. Sustainable blue economy: Classified when it has a positive impact on the ocean or coastal ecosystem.,"B.3.3.3. Circular economy activities aimed at reducing, redesigning, and reusing materials/waste (i.e., construction, infrastructure, industrial processes, among others).",B. Biodiversity and other environmental objectives
94,B.4. Other cross-cutting environmental and biodiversity issues,B.4.1. Institutional strengthening.,"B.4.1.1. Sustainable management of natural resources (e.g., ecosystems, water resources, forests, soils, fishery resources, biodiversity, etc.).",B. Biodiversity and other environmental objectives
95,B.4. Other cross-cutting environmental and biodiversity issues,B.4.1. Institutional strengthening.,B.4.1.2. Land use and urban planning geared toward the sustainable use of resources and energy.,B. Biodiversity and other environmental objectives
96,B.4. Other cross-cutting environmental and biodiversity issues,B.4.1. Institutional strengthening.,B.4.1.3. Other issues related to natural resource protection and biodiversity conservation. ,B. Biodiversity and other environmental objectives
97,B.4. Other cross-cutting environmental and biodiversity issues,B.4.1. Institutional strengthening.,B.4.1.4. Specific budgetary support to national or local authorities for the implementation of policies to enhance natural capital or conserve biodiversity.,B. Biodiversity and other environmental objectives
98,B.4. Other cross-cutting environmental and biodiversity issues,"B.4.2. Budgetary support, incentives, and compensation.",B.4.2.1. Generation and/or payment for ecosystem services.,B. Biodiversity and other environmental objectives
99,B.4. Other cross-cutting environmental and biodiversity issues,B.4.3. Capacities and knowledge management.,B.4.3.1. Other issues related to natural resource protection and biodiversity conservation.,B. Biodiversity and other environmental objectives
100,M.1. Energy,"M.1.1. Renewable energy generation. Sustainable Blue Economy: Classify when dealing with marine renewable energies, such as: offshore wind, floating solar photovoltaic, tidal, ocean thermal, salinity gradient, and wave power.","M.1.1.1. Low GHG emission renewable energy generation for electricity, heating, mechanical power, or cooling.",M. Climate change mitigation
101,M.1. Energy,"M.1.1. Renewable energy generation. Sustainable Blue Economy: Classify when dealing with marine renewable energies, such as: offshore wind, floating solar photovoltaic, tidal, ocean thermal, salinity gradient, and wave power.","M.1.1.2. Combined use of renewable energy and fossil fuels to supply electricity, heat, mechanical energy, or cooling.",M. Climate change mitigation
102,M.1. Energy,M.1.2. Low-carbon energy.,"M.1.2.1. Production, storage, or use of low-carbon hydrogen. Sustainable Blue Economy: Classified when hydrogen is generated from seawater or coastal aquifers.",M. Climate change mitigation
103,M.1. Energy,M.1.2. Low-carbon energy.,"M.1.2.2. Existing facilities - Replacement of high-carbon fossil fuels with low-carbon fuels and energy sources for the supply of electricity, heat, mechanical energy, or cooling.",M. Climate change mitigation
104,M.1. Energy,M.1.2. Low-carbon energy.,"M.1.2.3. Use of waste gases as feedstock or fuel to supply electricity, heat, mechanical energy, or cooling.",M. Climate change mitigation
105,M.1. Energy,M.1.3. Energy storage and grid stability.,M.1.3.1. Energy storage or measures to improve grid stability that increase the share of low-carbon energy in the system.,M. Climate change mitigation
106,M.1. Energy,M.1.4. Energy transport.,M.1.4.1. New transmission or distribution infrastructure that increases the share of low-carbon electricity.,M. Climate change mitigation
107,M.1. Energy,M.1.4. Energy transport.,M.1.4.2. High energy efficiency systems for the transmission or distribution of energy for cooling or heating.,M. Climate change mitigation
108,M.1. Energy,M.1.4. Energy transport.,"M.1.4.3. Improving energy efficiency in existing facilities or reducing CO2e emissions in existing electricity, heat, or gas transmission or distribution systems.",M. Climate change mitigation
109,M.1. Energy,M.1.4. Energy transport.,"M.1.4.4. Reduction of technical losses in the transmission and distribution of electricity, heat, or gas; or measures aimed at demand management.",M. Climate change mitigation
110,M.1. Energy,M.1.5. Fugitive emissions.,M.1.5.1. Reduction of fugitive GHG emissions in existing energy transport or storage infrastructure.,M. Climate change mitigation
111,M.2. Mining and metallurgical production for climate action,M.2.1. Mining for climate action.,M.2.1.1. Projects that support the extraction of minerals that are frequently used or critical for renewable energy; technologies that increase energy efficiency; or other low-carbon technologies or materials and products with low embodied GHG emissions.,M. Climate change mitigation
